"[datetime.datetime(2020, 12, 10, 15, 59, 37, 768650)]",['IDT002'],[True],[23.52]
"[datetime.datetime(2020, 12, 10, 16, 0, 16, 912101)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 998.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 16, 927754)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 993.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 16, 959643)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 993.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 17, 135743)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 993.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 17, 423672)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 989.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 17, 439236)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 989.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 17, 631487)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 989.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 17, 935268)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 17, 950698)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 18, 158624)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 18, 446687)]","['IDT002', 'IDL001', 'IDT001']","[False, True, False]","[23.43, 998.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 18, 462073)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 998.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 18, 670446)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 998.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 18, 957654)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 18, 973530)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 19, 165930)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 19, 453490)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1002.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 19, 484837)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1002.0, 20.89]"
"[datetime.datetime(2020, 12, 10, 16, 0, 19, 676954)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1002.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 19, 964899)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 19, 980223)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 20, 204496)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 990.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 20, 476582)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 987.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 20, 491477)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 987.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 20, 716387)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 987.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 20, 988019)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 998.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 21, 3240)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 998.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 21, 243218)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 998.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 21, 499199)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 996.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 21, 530379)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 996.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 21, 770107)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 996.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 21, 994926)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 992.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 22, 26776)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 992.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 22, 298284)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 992.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 22, 505169)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 998.0, 20.98]"
"[datetime.datetime(2020, 12, 10, 16, 0, 22, 537045)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 998.0, 20.98]"
