2020-12-10 14:22:52.648770,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:52.904149,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 981.0]"
2020-12-10 14:22:52.968195,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 981.0]"
2020-12-10 14:22:53.160057,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 981.0]"
2020-12-10 14:22:53.431945,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 940.0]"
2020-12-10 14:22:53.479671,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 940.0]"
2020-12-10 14:22:53.655470,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 940.0]"
2020-12-10 14:22:53.943396,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:53.975244,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:54.166837,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:54.470408,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 958.0]"
2020-12-10 14:22:54.518482,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 958.0]"
2020-12-10 14:22:54.678194,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 958.0]"
2020-12-10 14:22:54.997678,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 951.0]"
2020-12-10 14:22:55.045716,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 951.0]"
2020-12-10 14:22:55.173632,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 951.0]"
2020-12-10 14:22:55.541033,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 951.0]"
2020-12-10 14:22:55.684885,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 951.0]"
2020-12-10 14:22:56.068295,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 951.0]"
2020-12-10 14:22:56.100241,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 974.0]"
2020-12-10 14:22:56.116300,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 974.0]"
2020-12-10 14:22:56.196168,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 974.0]"
2020-12-10 14:22:56.579677,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 947.0]"
2020-12-10 14:22:56.611573,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 947.0]"
2020-12-10 14:22:56.707473,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 947.0]"
2020-12-10 14:22:57.123193,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 949.0]"
2020-12-10 14:22:57.139090,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 949.0]"
2020-12-10 14:22:57.219025,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 949.0]"
2020-12-10 14:22:57.666352,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 949.0]"
2020-12-10 14:22:57.682685,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 964.0]"
2020-12-10 14:22:57.698285,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 964.0]"
